id,email,data,valor,quantidade,produto
1226,galvaofilho@gmail.com,2024-09-11 09:00:00,1.1122345558889999e+57,999999999,ZapFlow com chatGPT
2,Kaio@gmail.com,2024-09-09 10:45:00,3000.0,5,ZapFlow com chatGPT
3,teamolulu@gmail.com,2024-09-11 09:00:00,100.0,2,ZapFlow com chatGPT
4,kaio@gmail.com,2024-09-11 09:00:00,3000.0,10,ZapFlow com Llama3.0
5,wfssaovivo@gmail.com,2024-09-25 12:45:00,15000.0,12,ZapFlow com Llama3.0
6,kratos@gmail.com,2024-09-11 10:15:00,2000.0,2,ZapFlow com chatGPT
7,teste_@gmail.com,2024-09-11 09:00:00,100.0,1,ZapFlow com Gemini
8,dennysmatos@gmail.com,2024-09-08 10:30:00,38383.74,33,ZapFlow com chatGPT
9,guilherme.lima@ymail.com,2024-09-10 08:45:00,2500.0,4,ZapFlow com Llama3.0
10,rennan777@gmail.com,2024-09-11 09:15:00,100000000000000.0,999,ZapFlow com Gemini
11,fred@gmail.com,2024-08-01 08:45:00,2000.0,3,ZapFlow com chatGPT
12,estagiario@gmail.com,2024-09-10 10:15:00,100.0,50,ZapFlow com Llama3.0
13,zedamanga@gamil.com,2024-09-09 09:00:00,0.06666,5,ZapFlow com Gemini
14,nabisco@hotmail.com,2024-09-12 09:00:00,3000.0,10,ZapFlow com chatGPT
15,bruno@gmail.com,2024-09-05 08:45:00,300.0,1,ZapFlow com chatGPT
16,vinicius@email.com,2024-09-11 09:00:00,1999.99,50,ZapFlow com chatGPT
17,fabiano.mello@gmail.com,2024-09-02 09:15:00,1000.0,100,ZapFlow com Gemini
18,mahcosta54@gmail.com,2024-09-11 09:00:00,5600.0,1,ZapFlow com chatGPT
19,pedro@gmail.com,2024-09-03 08:45:00,500.0,100,ZapFlow com Gemini
20,carlos_hideki@gmail.com,2024-09-10 08:45:00,5000.0,12,ZapFlow com Llama3.0
21,mauroruas@hotmail.com,2024-09-10 09:00:00,2500.0,10,ZapFlow com Gemini
22,teste@gmail.com,2024-09-10 08:45:00,10000.0,5,ZapFlow com Llama3.0
23,carvalhofdiego@outlook.com,2024-08-06 12:30:00,15000.0,7,ZapFlow com Gemini
24,armando@gmail.com,2024-09-06 09:15:00,150.0,1,ZapFlow com chatGPT
25,giuseppe.camolli@gmail.com,2024-09-10 09:15:00,1298.99,1,ZapFlow com chatGPT
26,paulo@gmail.com,2024-08-01 08:45:00,1.111111111111111e+19,2,ZapFlow com chatGPT
27,palmeirastemmundialsim@mundial51.com,2024-09-11 09:00:00,51.0,51,ZapFlow com Gemini
28,estagiario@esperto.com.br,2024-09-11 09:00:00,1000.0,10,ZapFlow com Llama3.0
29,romulo@gmail.com,2024-08-22 12:45:00,2500.0,3,ZapFlow com Llama3.0
30,wagner@gmail.com,2024-09-12 09:00:00,1500.0,1,ZapFlow com chatGPT
31,claudiohpontes@gmail.com,2024-09-11 09:00:00,250000.0,1,ZapFlow com Gemini
32,claudiohpontes@gmail.com,2024-09-11 09:00:00,250000.0,1,ZapFlow com Gemini
33,dev@dev.com,2024-09-11 08:45:00,500.0,1,ZapFlow com chatGPT
34,estagiario@gmail.com.br,2024-09-11 10:00:00,0.0066,1,ZapFlow com Gemini
35,meupaideoculos@gmail.com,2024-09-11 09:00:00,50000.0,5,ZapFlow com Gemini
36,luisflavo@hotmail.com,2024-09-10 09:15:00,3000.0,1,ZapFlow com Gemini
37,vendedor@fantasma.com,2024-09-13 08:45:00,1500.0,5,ZapFlow com Llama3.0
38,lucas@gmail.com,2024-08-15 08:00:00,550.0,3,ZapFlow com chatGPT
39,teste@teste.com,2024-09-11 09:00:00,1000.0,1,ZapFlow com Gemini
40,welinfssaovivo@gmail.com,2024-09-20 15:15:00,15000.0,15,ZapFlow com Gemini
41,BestVendedor@gmail.com,2024-09-11 09:00:00,1000000.0,1,ZapFlow com Llama3.0
42,dev@dev.com,2024-09-11 08:45:00,500.0,1,ZapFlow com chatGPT
43,mila@gmail.com,2024-09-10 11:30:00,2500.0,7,ZapFlow com chatGPT
44,deividchagas@gmail.com,2024-09-11 09:00:00,1.99,1,ZapFlow com chatGPT
45,romulo@gmail.com,2024-08-22 12:45:00,2500.0,3,ZapFlow com Llama3.0
46,Michael@gmail.com,2024-09-11 09:00:00,10000.0,6,ZapFlow com chatGPT
47,vinicius@email.com,2024-09-11 09:00:00,10000.0,200,ZapFlow com Llama3.0
48,akamas@gmail.com,2024-09-11 09:15:00,4.0,8,ZapFlow com Gemini
49,akamas@gmail.com,2024-09-11 09:15:00,4.0,8,ZapFlow com Gemini
50,jobssolutions@gmail.com,2024-09-10 11:00:00,1000.0,30,ZapFlow com chatGPT
51,claudiohpontes@gmail.com,2024-09-11 09:00:00,250000.0,1,ZapFlow com Gemini
52,claudiohpontes@gmail.com,2024-09-11 09:00:00,250000.0,1,ZapFlow com Gemini
53,claudiohpontes@gmail.com,2024-09-11 09:00:00,250000.0,1,ZapFlow com Gemini
54,powerbielson@gmail.com,2024-09-18 10:30:00,150000.0,5,ZapFlow com Llama3.0
55,zappone@gmail.com,2024-09-10 14:00:00,3000.0,12,ZapFlow com Llama3.0
56,claudiohpontes@gmail.com,2024-09-11 09:00:00,250000.0,1,ZapFlow com Gemini
57,zappone@gmail.com,2024-09-10 14:00:00,3000.0,12,ZapFlow com Llama3.0
58,powerbielson@gmail.com,2024-09-18 10:30:00,150000.0,5,ZapFlow com Llama3.0
59,diogao@hotmail.com,2024-09-10 13:00:00,8000.0,9,ZapFlow com Gemini
61,bruno.catoaba@gmail.com,2024-09-25 09:00:00,2000.0,1,ZapFlow com Llama3.0
62,Herbert@gmail.com,2024-09-18 09:00:00,5000.0,5,ZapFlow com chatGPT
60,wagner@gmail.com,2024-09-12 09:00:00,1500.0,1,ZapFlow com chatGPT
63,robertnilson@gmail.com,2024-09-11 09:00:00,5000.0,10,ZapFlow com Gemini
64,dev@dev.com,2024-09-11 08:45:00,500.0,1,ZapFlow com chatGPT
65,dev@dev.com,2024-09-11 08:45:00,500.0,1,ZapFlow com chatGPT
66,dev@dev.com,2024-09-11 08:45:00,500.0,1,ZapFlow com chatGPT
67,dev@dev.com,2024-09-11 08:45:00,500.0,1,ZapFlow com chatGPT
68,dev@dev.com,2024-09-11 08:45:00,500.0,1,ZapFlow com chatGPT
69,dev@dev.com,2024-09-11 08:45:00,500.0,1,ZapFlow com chatGPT
70,lucas@gmail.com,2024-08-15 08:00:00,550.0,3,ZapFlow com chatGPT
71,lucas@gmail.com,2024-08-15 08:00:00,550.0,3,ZapFlow com chatGPT
72,dev@dev.com,2024-09-11 08:45:00,500.0,1,ZapFlow com chatGPT
73,marquin@hotmail.com,2024-09-03 09:00:00,580.0,5,ZapFlow com chatGPT
74,rodrigo@yahoo.com,2024-09-14 09:15:00,1500.0,2,ZapFlow com Gemini
75,estagiario_careca@gmail.com,2024-09-11 09:00:00,1e+30,5,ZapFlow com chatGPT
76,xpto@asd.com,2024-09-11 09:00:00,0.8800000000000006,1,ZapFlow com Llama3.0
77,Michael@gmail.com,2024-09-11 09:00:00,10000.0,6,ZapFlow com chatGPT
78,durva_Sa@gmail.com,2024-09-11 11:00:00,150.0,2,ZapFlow com chatGPT
79,estagiario@gmail.com.br,2024-09-11 10:00:00,0.0066,1,ZapFlow com Gemini
80,pedro@gmail.com,2024-09-06 13:00:00,2000.0,50,ZapFlow com Gemini
81,vendedor@fantasma.com,2024-09-13 08:45:00,1500.0,5,ZapFlow com Llama3.0
82,carvalhofdiego@outlook.com,2024-08-06 16:30:00,700.0,5,ZapFlow com chatGPT
83,teste@gmail.com,2024-09-11 09:00:00,1000.0,1,ZapFlow com Gemini
84,teste@teste.com,2024-09-11 09:00:00,1000.0,1,ZapFlow com Gemini
85,jogodobrasil@teste.com,2024-09-11 09:00:00,1.0,1,ZapFlow com Gemini
86,jogodobrasil@teste.com,2024-09-11 09:00:00,1.0,1,ZapFlow com Gemini
87,powerbielson@gmail.com,2024-09-18 10:30:00,150000.0,5,ZapFlow com Llama3.0
88,powerbielson@gmail.com,2024-09-18 10:30:00,150000.0,5,ZapFlow com Llama3.0
89,powerbielson@gmail.com,2024-09-18 10:30:00,150000.0,5,ZapFlow com Llama3.0
90,powerbielson@gmail.com,2024-09-18 10:30:00,150000.0,5,ZapFlow com Llama3.0
91,jogodobrasil@teste.com,2024-09-11 09:00:00,1.0,1,ZapFlow com Gemini
92,deividchagas@gmail.com,2024-09-11 09:00:00,1.99,1,ZapFlow com chatGPT
93,powerbielson@gmail.com,2024-09-18 10:30:00,150000.0,5,ZapFlow com Llama3.0
94,vinicius@email.com,2024-09-11 09:00:00,10000.0,200,ZapFlow com Llama3.0
95,wagnerbarroos@gmail.com,2024-09-11 09:00:00,2500.0,1,ZapFlow com Gemini
96,wagnerbarroos@gmail.com,2024-09-11 09:00:00,2500.0,1,ZapFlow com Gemini
